,perimiter,area,red,green,blue,fruit
19,484.23253560066223,9347.5,17.0149,13.2211,1.8832444444444445,banana
20,490.2914105653763,9045.5,15.913833333333335,12.371155555555557,1.7417777777777779,banana
21,476.04877042770386,9439.0,15.351,11.464822222222223,1.5079333333333333,banana
22,415.84775960445404,7900.0,12.679322222222224,9.482255555555556,1.023477777777778,banana
23,510.77669179439545,11299.5,19.856255555555556,14.947211111111113,1.8721222222222222,banana
24,444.7350617647171,7390.0,12.373944444444446,9.490133333333334,1.2973666666666668,banana
25,456.43354618549347,8510.5,15.090877777777779,11.634555555555556,1.4020666666666668,banana
26,453.4213534593582,7946.0,13.151944444444444,10.116311111111111,1.2847111111111111,banana
27,444.634556889534,8126.5,13.059066666666668,9.921677777777779,1.2162444444444445,banana
28,571.4284936189651,11513.5,19.940811111111113,14.94668888888889,1.6843222222222223,banana
29,525.1198378801346,11982.5,22.155622222222224,16.622733333333333,1.9425111111111113,banana
30,550.9604579210281,13331.0,25.36547777777778,18.660322222222224,2.4990666666666668,banana
31,788.0975403785706,25727.0,31.231144444444446,25.426922222222224,4.4282,banana
32,540.5168060064316,11960.5,20.701411111111113,15.193733333333334,1.684688888888889,banana
33,532.9015816450119,10843.0,17.320311111111113,12.435711111111111,1.3288222222222223,banana
34,574.374671459198,11935.5,21.814455555555558,16.847266666666666,2.5613555555555556,banana
35,518.8010759353638,10039.5,15.891044444444445,11.4755,1.3047111111111112,banana
36,609.7888841629028,13124.0,24.40352222222222,18.805533333333333,2.5575222222222225,banana
37,586.4751752614975,14294.0,27.391911111111114,21.257233333333335,2.2227,banana
38,625.8305141925812,14849.5,27.258555555555557,21.935833333333335,2.050511111111111,banana
39,587.3452334403992,11700.5,21.427533333333333,16.69816666666667,1.833411111111111,banana
0,643.3036036491394,10977.0,16.11888888888889,13.051844444444445,7.378333333333334,pear
1,516.2914105653763,8956.5,13.047833333333333,10.51731111111111,5.966188888888889,pear
